policy_id,policy_name,department,owner,approval_status,last_review_date,expiry_date,document_version,risk_category,audit_status,finding_count,critical_findings,compliance_score
P211,Litigation Response Policy,Finance,Grace Johnson,Pending,2025-08-18,2027-08-03,v4.9,Financial Controls,Non-Compliant,8,4,60
P212,Workplace Conduct Policy,Finance,Michael Lee,Approved,2025-04-25,2027-06-24,v1.0,Data Governance,Compliant,1,0,90
P213,Access Control Policy,Finance,Ethan Moore,Approved,2025-06-13,2028-07-14,v2.9,Operations,Non-Compliant,3,2,61
P214,Vendor Security Policy,HR,Michael Johnson,Pending,2024-10-18,2025-07-19,v2.9,Financial Controls,Non-Compliant,8,1,66
P215,Access Control Policy,Operations,Chris Martin,Approved,2024-10-15,2027-07-18,v3.6,Data Governance,Compliant,2,0,98
P216,Access Control Policy,Finance,Grace White,Approved,2025-02-25,2026-08-31,v3.0,Data Governance,Non-Compliant,8,4,59
P217,Business Continuity Policy,HR,Ethan Garcia,Approved,2025-04-29,2027-10-14,v5.4,Financial Controls,Non-Compliant,9,1,66
P218,Access Control Policy,IT,Emily Chen,Approved,2024-03-07,2026-03-24,v1.1,Cybersecurity,At Risk,3,1,79
P219,Business Continuity Policy,HR,James Johnson,Approved,2026-02-18,2026-05-31,v1.0,Cybersecurity,At Risk,4,1,82
P220,Records Retention Policy,HR,Michael Young,Approved,2025-06-20,2027-07-10,v4.1,Data Governance,Non-Compliant,7,4,55
P221,Accounts Payable Review,Legal,Victoria Walker,Approved,2025-04-24,2026-04-25,v3.7,Financial Controls,Non-Compliant,7,3,63
P222,Expense Reimbursement Policy,IT,Olivia Johnson,Approved,2025-01-08,2025-10-17,v4.9,Legal & Regulatory,At Risk,3,0,78
P223,Business Continuity Policy,Finance,Emma Chen,Approved,2025-04-08,2027-03-24,v3.7,HR Compliance,Compliant,1,0,94
P224,Litigation Response Policy,Operations,David Anderson,Approved,2024-06-06,2026-06-28,v2.6,HR Compliance,Compliant,1,0,85
P225,Supplier Assessment Policy,HR,Victoria Garcia,Approved,2025-08-04,2027-07-26,v5.8,Financial Controls,At Risk,1,0,78
P226,Data Retention Policy,Legal,Daniel Patel,Approved,2025-07-24,2025-10-01,v3.3,HR Compliance,At Risk,4,0,81
P227,Inventory Management Policy,Finance,Robert Brown,Approved,2024-09-13,2028-01-19,v5.8,Data Governance,Compliant,1,0,92
P228,Records Retention Policy,Operations,Sarah White,Pending,2024-02-07,2028-05-16,v1.1,Financial Controls,Compliant,2,0,93
P229,Expense Reimbursement Policy,HR,Andrew Lee,Approved,2024-07-27,2027-08-09,v1.1,HR Compliance,At Risk,4,0,76
P230,Contract Review Policy,Finance,Grace Hall,Approved,2024-10-06,2026-08-08,v4.9,Data Governance,At Risk,3,1,83
P231,Payroll Controls,Legal,James Smith,Approved,2025-07-20,2027-09-11,v3.4,HR Compliance,Non-Compliant,4,2,60
P232,Financial Reporting Controls,Operations,Grace Clark,Approved,2026-02-08,2027-10-27,v3.1,HR Compliance,Compliant,1,0,99
P233,Cloud Usage Policy,IT,John Davis,Approved,2024-06-24,2026-04-14,v5.2,HR Compliance,At Risk,5,0,70
P234,Inventory Management Policy,Legal,Daniel Garcia,Pending,2024-08-12,2026-05-25,v1.9,Financial Controls,Non-Compliant,9,4,66
P235,Regulatory Compliance Policy,Operations,Olivia Taylor,Approved,2025-10-11,2026-07-08,v5.2,HR Compliance,At Risk,1,0,72
P236,Financial Reporting Controls,HR,Daniel Wilson,Approved,2025-01-02,2028-04-27,v5.6,Legal & Regulatory,Compliant,1,0,95
P237,Regulatory Compliance Policy,Operations,Emma White,Approved,2025-02-04,2026-05-01,v3.9,Legal & Regulatory,Compliant,2,0,98
P238,Payroll Controls,IT,Sophia Wilson,Approved,2026-01-19,2026-05-22,v4.9,Financial Controls,At Risk,2,1,78
P239,Procurement Policy,Legal,Olivia Martin,Approved,2024-11-14,2026-05-02,v4.4,Financial Controls,Compliant,0,0,90
P240,Remote Work Policy,Finance,Daniel Young,Approved,2025-05-16,2025-06-01,v2.6,Legal & Regulatory,Compliant,0,0,86
P241,Supplier Assessment Policy,Legal,Olivia Clark,Approved,2024-01-09,2027-11-08,v1.9,Cybersecurity,Compliant,0,0,86
P242,Workplace Conduct Policy,Finance,Sarah Johnson,Approved,2025-07-27,2026-04-22,v5.8,Cybersecurity,At Risk,5,1,84
P243,Cloud Usage Policy,Legal,Emily Hall,Pending,2025-05-08,2028-05-27,v4.1,Data Governance,Non-Compliant,10,2,57
P244,Workplace Conduct Policy,Finance,Sarah Harris,Approved,2024-02-02,2025-11-07,v2.9,Data Governance,At Risk,1,0,83
P245,Litigation Response Policy,HR,Olivia Martin,Approved,2024-03-06,2026-07-10,v5.4,Legal & Regulatory,Non-Compliant,3,3,68
P246,Expense Reimbursement Policy,Legal,Sophia Anderson,Approved,2025-08-18,2028-03-31,v2.6,Cybersecurity,Compliant,0,0,98
P247,Payroll Controls,HR,David Garcia,Approved,2025-06-23,2026-10-01,v4.2,Legal & Regulatory,Compliant,1,0,98
P248,Inventory Management Policy,HR,Robert Harris,Approved,2024-02-25,2025-11-19,v3.7,Operations,At Risk,5,1,80
P249,Regulatory Compliance Policy,HR,John Brown,Pending,2025-02-03,2027-05-16,v4.3,Operations,Non-Compliant,9,2,59
P250,Remote Work Policy,HR,Chris Davis,Approved,2026-01-05,2028-07-15,v1.0,Cybersecurity,Compliant,1,0,86
